FiberLength										
version=1										
nRows=4903										
nColumns=7										
inDegrees=no										
										
"This analysis gathers basic information about muscles during a simulation (e.g., forces, tendon lengths, moment arms, etc)."										
"Units are S.I. units (second, meters, Newtons, ...)"										
Angles are in degrees.										
										
endheader										
time	bifemlh_r	bifemsh_r	glut_max2_r	Vastus Intermedius	med_gas_r	tib_ant_r		Vastus Intermedius Optimal Fiber Length		
0.106014	0.13756903	0.15031596	0.15248752	0.14927092	0.13487508	0.11501222	127	0.12617328		
0.10630431	0.13755848	0.15034427	0.15246854	0.14922793	0.13489811	0.11502106	128	0.12617328		
0.10669173	0.13754538	0.15038222	0.1524431	0.14917059	0.13492894	0.1150328	129	0.12617328		
0.10683154	0.13753986	0.15039592	0.15243389	0.1491498	0.13494008	0.11503703	130	0.12617328		
0.10705819	0.13753176	0.1504182	0.15241893	0.14911615	0.13495817	0.11504387	131	0.12617328		
0.10733226	0.13752227	0.1504452	0.1524008	0.14907544	0.13498007	0.11505211	132	0.12617328		
0.10746929	0.13751705	0.15045871	0.1523917	0.14905503	0.13499104	0.11505622	133	0.12617328		
0.10780538	0.13750558	0.15049198	0.15236933	0.14900504	0.135018	0.11506629	134	0.12617328		
0.10818692	0.13749175	0.15052984	0.15234381	0.14894814	0.13504868	0.11507766	135	0.12617328		
0.10830384	0.13748742	0.15054146	0.15233598	0.14893068	0.13505809	0.11508113	136	0.12617328		
0.10852414	0.13747933	0.15056338	0.1523212	0.14889774	0.13507584	0.11508766	137	0.12617328		
0.10891913	0.13746548	0.15060285	0.15229457	0.14883871	0.13510775	0.11509934	138	0.12617328		
0.10916302	0.13745626	0.15062726	0.15227806	0.14880214	0.13512749	0.11510653	139	0.12617328		
0.1095409	0.1374431	0.15066523	0.15225243	0.14874554	0.13515816	0.1151176	140	0.12617328		
0.10964599	0.13743914	0.15067581	0.15224527	0.14872976	0.1351667	0.11512068	141	0.12617328		
0.10990492	0.137429	0.15070188	0.15222758	0.14869077	0.13518776	0.11512825	142	0.12617328		
0.11023081	0.13741743	0.15073483	0.15220527	0.1486418	0.13521433	0.11513772	143	0.12617328		
0.11039275	0.13741151	0.15075124	0.15219414	0.14861742	0.13522756	0.11514242	144	0.12617328		
0.1109546	0.13739077	0.15080829	0.15215545	0.14853268	0.1352735	0.11515863	145	0.12617328		
0.11151644	0.13736999	0.15086568	0.15211641	0.14844779	0.13531971	0.11517477	146	0.12617328		
0.11157263	0.13736798	0.15087143	0.15211251	0.14843929	0.13532432	0.11517637	147	0.12617328		
