FiberVelocity						
version=1						
nRows=4903						
nColumns=7						
inDegrees=no						
						
"This analysis gathers basic information about muscles during a simulation (e.g., forces, tendon lengths, moment arms, etc)."						
"Units are S.I. units (second, meters, Newtons, ...)"						
Angles are in degrees.						
						
endheader						
time	bifemlh_r	bifemsh_r	glut_max2_r	Vastus Intermedius	med_gas_r	tib_ant_r
0.12162176	-0.04512741	0.11136306	-0.08067543	-0.15784965	0.08746232	0.02326301
0.12172739	-0.04522023	0.11143033	-0.08076794	-0.15797086	0.08756441	0.02322538
0.12191884	-0.04524302	0.11157762	-0.08090245	-0.15802779	0.08754871	0.0231476
0.12201105	-0.04528434	0.11165245	-0.08097446	-0.15808305	0.08761621	0.02311223
0.12224906	-0.04535293	0.11190028	-0.08117678	-0.15821641	0.08776877	0.02302547
0.12252804	-0.04543168	0.11209596	-0.08136626	-0.15831045	0.08787106	0.02291023
0.12258764	-0.04543212	0.11218057	-0.08142154	-0.15833383	0.08791005	0.02288978
0.12269807	-0.04547629	0.11229998	-0.08152648	-0.1584266	0.08797413	0.02285256
0.12305337	-0.04559913	0.11256002	-0.08178709	-0.15859726	0.08810876	0.02271115
0.12318642	-0.0456283	0.11269694	-0.08189696	-0.15865955	0.08817793	0.02266158
0.12341756	-0.04583307	0.11275356	-0.08206679	-0.15889702	0.08826585	0.02256957
0.12383258	-0.04582634	0.11326052	-0.08239867	-0.1589664	0.0885171	0.02241175
0.12387408	-0.04587209	0.11325493	-0.08242905	-0.15902315	0.08850528	0.0223952
0.12399251	-0.04597883	0.11326146	-0.08251507	-0.1591581	0.08847941	0.0223478
0.12423	-0.04601493	0.11353394	-0.0827039	-0.15922145	0.08870035	0.02225703
0.12431456	-0.04606531	0.11357525	-0.08276753	-0.15928774	0.08871885	0.02222375
0.12452478	-0.04612547	0.11376184	-0.08293237	-0.15938606	0.0888198	0.02214277
0.12481247	-0.04624174	0.11392884	-0.08314671	-0.15956389	0.08880977	0.02202888
0.12486962	-0.0462575	0.11400322	-0.08319627	-0.15958662	0.08889589	0.02200808
0.12498176	-0.04628699	0.11415719	-0.0832944	-0.15962757	0.08908516	0.02196752
0.1253305	-0.04641858	0.11438385	-0.08355463	-0.15982216	0.08913179	0.02182949
0.12545973	-0.04645923	0.11451112	-0.08365897	-0.15988235	0.08923718	0.02178039
0.12568856	-0.04653727	0.11466553	-0.08382991	-0.16000237	0.08926139	0.02168979
0.12609497	-0.04666396	0.11502234	-0.08414603	-0.16018671	0.08950003	0.02153211
0.12629632	-0.04669547	0.11521781	-0.0843022	-0.16025093	0.08958682	0.02145371
0.12654825	-0.04690789	0.1153022	-0.08450179	-0.16051928	0.08965459	0.02135688
0.12662933	-0.04692793	0.1153736	-0.08456531	-0.16055424	0.08968357	0.02132546
0.12683615	-0.04687607	0.11565334	-0.08471707	-0.16050983	0.08983649	0.02124266
0.12713211	-0.04703051	0.11582872	-0.08495789	-0.16074883	0.08984686	0.02113026
0.12718594	-0.04704606	0.11588773	-0.08499783	-0.16075972	0.08992998	0.0211088
0.12729997	-0.04706831	0.11601483	-0.08507762	-0.16076468	0.09010638	0.02106222
0.12763632	-0.04724008	0.11619472	-0.08534249	-0.16102285	0.09008748	0.02093209
0.12775976	-0.04726985	0.11631197	-0.0854351	-0.16105871	0.09018654	0.02088317
0.12798997	-0.04725938	0.11658639	-0.08561945	-0.16108971	0.09029088	0.0207948
0.12839176	-0.04748715	0.11681125	-0.08591972	-0.1613586	0.09047813	0.02063521
0.12844194	-0.04746323	0.11690136	-0.08596492	-0.16134892	0.09051202	0.02061714
0.12850566	-0.04746444	0.11698148	-0.08601971	-0.16136585	0.09054822	0.02059356
0.12877361	-0.04752007	0.11718621	-0.08622245	-0.16147138	0.09054361	0.02048761
0.12898041	-0.04777358	0.11721969	-0.08636817	-0.16170191	0.09083892	0.02040332
0.12934414	-0.04755504	0.11777557	-0.08668162	-0.1616287	0.09066733	0.02026862
0.12938051	-0.04780974	0.11758971	-0.08668545	-0.16183199	0.09083229	0.02024861
0.12941689	-0.04801142	0.11745746	-0.08669572	-0.16199332	0.09098269	0.02023009
0.12959875	-0.0476446	0.11800454	-0.08688392	-0.16174678	0.09085855	0.02017007
0.12988674	-0.0480295	0.11797246	-0.0870743	-0.16209822	0.09115903	0.02004942
0.12994113	-0.04801047	0.11804586	-0.08712338	-0.16210412	0.09113088	0.02002981
0.130053	-0.04802531	0.11813405	-0.08721461	-0.16215623	0.09107614	0.01998726
0.13038936	-0.04810316	0.11845876	-0.0874754	-0.1622628	0.0913157	0.01985529
0.13051423	-0.04815297	0.11854289	-0.08757272	-0.16233445	0.09133758	0.01980652
0.13073749	-0.0482624	0.11867322	-0.08773801	-0.16246357	0.09141982	0.0197172
0.13106352	-0.04834072	0.11895985	-0.08799066	-0.1625817	0.09156234	0.01958932
0.13126345	-0.04840131	0.11912455	-0.08814201	-0.16265809	0.09167119	0.01951002
0.13162459	-0.04857278	0.11935735	-0.08843084	-0.16289813	0.09174888	0.01937031
0.13184952	-0.04856691	0.11960664	-0.08859416	-0.16289317	0.09190363	0.01927946
0.13207446	-0.0487488	0.11967479	-0.08877697	-0.16312914	0.09190247	0.01919304
0.13213865	-0.04875851	0.11973582	-0.08882534	-0.16314298	0.09193734	0.0191675
0.13223872	-0.04871211	0.11989151	-0.08889586	-0.1630882	0.09203897	0.01912656
0.13261889	-0.04892159	0.12011957	-0.08919748	-0.16335573	0.09217182	0.01897861
0.13281093	-0.0489343	0.12030482	-0.0893412	-0.16338354	0.09223985	0.01890199
0.13302114	-0.04900155	0.12068556	-0.08950209	-0.16347357	0.09230897	0.01881883
0.13328375	-0.04910497	0.12088278	-0.08970458	-0.16360028	0.09244486	0.01871526
0.13348183	-0.0491558	0.1210471	-0.08985749	-0.16367265	0.09251497	0.01863717
0.13384148	-0.04926843	0.12110966	-0.09013668	-0.16382457	0.09265397	0.01849559
0.13405991	-0.04936115	0.12125355	-0.09030487	-0.16394137	0.09272008	0.01840923
0.13429476	-0.04940895	0.12147343	-0.09048158	-0.16399592	0.09288251	0.01831568
0.13459843	-0.04960453	0.12158568	-0.0907252	-0.16425879	0.09282023	0.01819742
0.13463939	-0.0495858	0.12165962	-0.09075694	-0.16423713	0.09288488	0.01818129
0.13475717	-0.04956242	0.12184108	-0.09084485	-0.16420056	0.09307517	0.0181343
0.13501408	-0.04965361	0.12197705	-0.09103244	-0.16431936	0.09303521	0.01803051
0.13510955	-0.04964604	0.12209343	-0.09110697	-0.16431767	0.09309777	0.01799299
0.13531045	-0.04981546	0.12217983	-0.09127104	-0.16451356	0.09321476	0.01791539
0.13554485	-0.04981541	0.12241739	-0.09144813	-0.16453005	0.09328837	0.01782195
0.13574255	-0.05009451	0.12237866	-0.0916016	-0.1648302	0.09336437	0.01774367
0.13609245	-0.04983048	0.12296395	-0.09186724	-0.16459031	0.09345183	0.01760482
0.13612744	-0.05003726	0.12283202	-0.0918967	-0.16480046	0.09350777	0.01759121
0.13617546	-0.05028379	0.1226786	-0.09193601	-0.16505139	0.09357073	0.01757234
0.13641557	-0.04999187	0.12314967	-0.09211381	-0.16477764	0.09355162	0.01747627
0.13661454	-0.05026278	0.12314272	-0.09227014	-0.1650613	0.09370222	0.01739772
0.13683739	-0.05026393	0.12336167	-0.09244081	-0.16508218	0.09374254	0.01730931
0.13703475	-0.05036743	0.12347113	-0.09259253	-0.16520217	0.09380045	0.01723098
0.13729373	-0.05047655	0.12366526	-0.09279615	-0.16532907	0.09394757	0.01712894
0.13748826	-0.05038157	0.12391902	-0.09293072	-0.16522962	0.09398139	0.0170491
0.13780722	-0.05084018	0.12389473	-0.09320652	-0.16575119	0.0941192	0.01692781
0.13783911	-0.05079468	0.12395458	-0.09322415	-0.1656992	0.09411906	0.01691392
0.13796034	-0.05057345	0.12424654	-0.09329646	-0.16545395	0.09416628	0.01686209
0.13817594	-0.05077806	0.12426807	-0.09346418	-0.16568511	0.09416292	0.01677674
0.13824809	-0.05075013	0.124366	-0.09351941	-0.16566087	0.09418432	0.01674802
0.13844203	-0.05085354	0.1245004	-0.09366765	-0.1657638	0.09434935	0.01667084
0.13875992	-0.0508206	0.12491858	-0.09394434	-0.16578399	0.09450321	0.01655012
0.1387917	-0.05087086	0.12489247	-0.0939599	-0.16582508	0.09451167	0.01653594
0.13891234	-0.05107729	0.12473736	-0.09401229	-0.16600086	0.09443113	0.01648085
0.13912654	-0.05098095	0.12513501	-0.09421199	-0.16594392	0.0946414	0.01640182
0.13919832	-0.05103416	0.125151	-0.09425889	-0.16598935	0.09467345	0.01637183
0.13939116	-0.0511187	0.12520899	-0.09439497	-0.16608552	0.09457525	0.01629285
0.13974486	-0.0513543	0.12538572	-0.09466873	-0.16633305	0.09476924	0.01615257
0.13978023	-0.05133573	0.12544073	-0.09470047	-0.16632328	0.09476484	0.01613923
0.1398796	-0.05129124	0.1255939	-0.09478215	-0.16628723	0.09481184	0.01610048
0.14005702	-0.05133392	0.12571285	-0.09490709	-0.16632475	0.09484643	0.01602797
0.14015135	-0.0513737	0.12577301	-0.0949841	-0.16637709	0.09485103	0.01599114
0.140346	-0.0514506	0.12592594	-0.09513042	-0.16644674	0.0950125	0.01591303
0.14059371	-0.05160138	0.12601334	-0.09531642	-0.16661064	0.09500897	0.01581361
0.14064128	-0.05159835	0.12606676	-0.09535316	-0.16660842	0.09503165	0.01579467
0.1407427	-0.05152978	0.12625396	-0.09543668	-0.16654355	0.09511643	0.01575518
0.14097083	-0.05174519	0.12627404	-0.09560642	-0.16676515	0.09514872	0.01566337
0.14104481	-0.05173555	0.12635427	-0.09566111	-0.16675451	0.09517215	0.01563351
0.14123435	-0.05170221	0.12659889	-0.095813	-0.16672836	0.0952805	0.01555892
0.14157738	-0.05183145	0.12682464	-0.09606992	-0.16685688	0.09540199	0.01542105
0.14180367	-0.05203205	0.12684855	-0.09624504	-0.1670753	0.09537361	0.01533094
0.14202996	-0.05187836	0.12724853	-0.09641416	-0.16690285	0.09559394	0.01523995
0.14207181	-0.05193628	0.127228	-0.09644807	-0.16696895	0.09555826	0.01522354
0.14216719	-0.05209432	0.12717144	-0.09652514	-0.16714101	0.09552448	0.01518604
0.14234462	-0.05216785	0.12728048	-0.09665531	-0.16720828	0.09559706	0.01511423
0.14242224	-0.05220926	0.12731075	-0.09671551	-0.16725562	0.09557959	0.01508333
0.14262625	-0.05219387	0.12755527	-0.09687378	-0.16723598	0.09572511	0.015002
0.14286856	-0.0522825	0.12771764	-0.09705376	-0.16731708	0.09582425	0.01490444
0.14291076	-0.05229965	0.12774089	-0.09708972	-0.16734211	0.09580543	0.01488807
0.14301069	-0.05233817	0.12779111	-0.09717151	-0.16739524	0.09575501	0.01484883
0.14320383	-0.05241382	0.1279311	-0.09730438	-0.16744113	0.09594223	0.01476937
0.14328676	-0.05248209	0.12794343	-0.09737006	-0.16751702	0.09592193	0.01473648
